Token Name,Symbol,Address,Change %
"VISION ai by Virtuals
(VISION)",VISION,0x50d7a818e5e339ebe13b17e130b5b608fac354dc,0.76%
"MPRO
(MPRO)",MPRO,0xd88611a629265c9af294ffdd2e7fa4546612273e,17.34%
"JOOCE
(JOOCE)",JOOCE,0x100ce3e3391c00b6a52911313a4ea8d23c8a38d8,2.49%
"UNLUCKY
(UNLUCKY)",UNLUCKY,0x3933012dcf9beb0d63778725345e04dcc0c69c7e,3.98%
"Basedmilio
(BASED)",BASED,0x28e29ec91db66733a94ee8e3b86a6199117baf99,7.50%
"Brett2.0
(Brett2.0)",Brett2.0,0x885129e35d247b01c4485ef6b48564d0ebc8c362,1.03%
"CV AGENTLAUNCHER Token
(CVAI)",CVAI,0x6b34d1c35689dba179c2eddf6a01530bbb1d28a8,4.56%
"Agent Zero
(WSB)",WSB,0x92dc4ab92eb16e781559e612f349916988013d5a,1.66%
"boots
(boots)",boots,0x6b9d4e6d4b610709377c07a63c8ac62c6661ab07,6.29%
"Larva Lads
(LAD)",LAD,0x40e3eddf6d253bb734381a309437428f121c594b,1.06%
"DeFAI
(DEFAI)",DEFAI,0xf857b2764095b9a5f57c3e71f82f297fe4e45334,4.25%
"BLUE
(BLUE)",BLUE,0x7f65323e468939073ef3b5287c73f13951b0ff5b,1.37%
"launchbot
(ROCKETAI)",ROCKETAI,0x03f64375f98aaafb617d18ca1e4a9a85a5c74476,7.54%
"Workie
(WORKIE)",WORKIE,0x7480527815ccAE421400Da01E052b120Cc4255E9,5.82%
"Rizz
(RIZZ)",RIZZ,0x6ce7c23B917284E21D55cEa20Acaeb2bC58594bE,0.71%
"Synth escrowed token
(xSYNTH)",xSYNTH,0x01CC6b33c63CeE896521D63451896C14D42D05Ea,0.83%
"Synth Token
(SYNTH)",SYNTH,0xbd2DBb8eceA9743CA5B16423b4eAa26bDcfE5eD2,0.83%
"senku ishigami by Virtuals
(SENKU)",SENKU,0x0671799F205b8880D270Fc6BEC77942636dd8C03,3.39%
"BINGO
(BINGO)",BINGO,0x1e339a1785b8114eef43e471c49c6ca327479aca,2.73%
"Sage Market
(SAGE)",SAGE,0xbb2a93afcf5d3af8ae28dd50d6c18556ea532c5a,4.60%
"AI Voice Agents
(AIVA)",AIVA,0xbdb0e1c40a76c5113a023d685b419b90b01e3d61,2.08%
"Laïka
(LAÏKA)",LAÏKA,0x05a5b4e217004eb84c6787e0ecbe7a46cfd94cdd,12.09%
"Dackie Token
(DACKIE)",DACKIE,0xc2bc7a73613b9bd5f373fe10b55c59a69f4d617b,3.93%
"Tadpole
(TAD)",TAD,0x55027a5b06f4340cC4C82DCC74C90cA93dcb173E,4.00%
"LaunchTokenBot
(CAPO)",CAPO,0x63cb9a22cbc00bf9159429e9dede4b88c3dba8ce,5.40%
"myEva
(MYEVA)",MYEVA,0x000307575269863b6cb67916b9e7fc3c6235c000,6.38%
"MOLLY ANALYTICS by Virtuals
(MOLLY)",MOLLY,0xA720777acB870De5395cD5888b3cD8fB763E74D2,0.04%
"Rebel by Virtuals
(REBELZ)",REBELZ,0x0aa9876c9ccf97be7eed5c4cee91d556bf7dbac3,1.23%
"APOLLO AI by Virtuals
(APL)",APL,0xb55fcd62ed44253c45735bde6703c44100935747,4.13%
"Unio Coin
(UNIO)",UNIO,0x01aaC2b594F7bdBeC740F0F1AA22910EbB4B74Ab,1.99%
"Altariste by Virtuals
(ASTA)",ASTA,0xf8f259389C1F29769e0388579D458Fb799489185,6.14%
"DRINK
(DRINK)",DRINK,0x2dc90Fa3a0f178ba4beE16CAc5D6c9A5a7B4C6cB,206.48%
"Aave Base cbETH
(aBascbETH)",aBascbETH,0xcf3d55c10db69f28fd1a75bd73f3d8a2d9c595ad,0.56%
"Wrapped Super OETH
(wsuperOETHb)",wsuperOETHb,0x7FcD174E80f264448ebeE8c88a7C4476AAF58Ea6,4.35%
"xPufETH
(xPufETH)",xPufETH,0x23da5f2d509cb43a59d43c108a43edf34510eff1,5.84%
"Aave Base WETH
(aBasWETH)",aBasWETH,0xd4a0e0b9149bcee3c920d2e00b5de09138fd8bb7,5.61%
